,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
147,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,2019,31/12/1969,120,83,72,-5,44,48,258,1,21,76,Italy
148,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,31/12/1969,152,87,53,-3,33,71,182,24,9,85,Brazil
149,Chiasso,Random,italian hip hop,2019,31/12/1969,92,45,72,-13,10,46,182,25,19,78,Italy
150,China,Anuel AA,latin,2019,31/12/1969,105,81,79,-4,8,61,302,8,9,94,Argentina
151,China,Anuel AA,latin,2019,31/12/1969,105,81,79,-4,8,61,302,8,9,94,Bolivia
152,China,Anuel AA,latin,2019,31/12/1969,105,81,79,-4,8,61,302,8,9,94,Colombia
153,China,Anuel AA,latin,2019,31/12/1969,105,81,79,-4,8,61,302,8,9,94,Chile
154,China,Anuel AA,latin,2019,31/12/1969,105,81,79,-4,8,61,302,8,9,94,Spain
155,choque térmico - ao vivo,Luan Santana,funk carioca,2019,31/12/1969,127,76,74,-6,83,73,180,34,4,81,Brazil
156,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,-7,11,70,153,2,3,88,World
157,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,31/12/1969,126,76,34,-7,8,36,166,39,5,82,World
158,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,-7,11,70,153,2,3,88,Africa
159,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,31/12/1969,126,76,34,-7,8,36,166,39,5,82,Africa
160,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,-7,11,70,153,2,3,88,Belgium
161,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,31/12/1969,126,76,34,-7,8,36,166,39,5,82,Belgium
162,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,-7,11,70,153,2,3,88,Canada
163,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,31/12/1969,126,76,34,-7,8,36,166,39,5,82,Canada
164,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,-7,11,70,153,2,3,88,United States
165,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,31/12/1969,126,76,34,-7,8,36,166,39,5,82,United States
166,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,World
167,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,Australia
168,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,Belgium
169,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,Canada
170,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,Germany
171,Christmas Time,Bryan Adams,album rock,2019,31/12/1969,77,58,50,-4,10,32,243,47,3,72,Germany
172,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,adult standards,1965,31/12/1969,75,14,39,-20,10,9,166,98,3,75,United States
173,Cin Cin,Alfa,italian arena pop,2019,31/12/1969,121,63,70,-4,13,37,180,26,3,65,Italy
174,Cinta Luar Biasa,Andmesh,indonesian pop,2019,31/12/1969,136,23,58,-12,10,32,256,81,3,66,Indonesia
175,Cinta Luar Biasa,Andmesh,indonesian pop,2019,31/12/1969,136,23,58,-12,10,32,256,81,3,66,Malasya
176,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,World
177,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,Africa
178,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,Australia
179,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,Belgium
180,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,United States
181,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,India
182,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,Israel
183,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,Malasya
184,COLT,Samra,german hip hop,2019,31/12/1969,90,53,54,-6,10,18,180,35,43,83,Germany
185,Com ou Sem Mim (Ao Vivo em Fortaleza),Gustavo Mioto,sertanejo,2019,31/12/1969,142,72,61,-4,96,30,202,16,5,79,Brazil
186,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,31/12/1969,150,73,83,-3,2,61,158,38,8,86,Brazil
187,comethru,Jeremy Zucker,pop,2018,31/12/1969,94,18,80,-12,62,61,182,61,6,86,Indonesia
188,comethru,Jeremy Zucker,pop,2018,31/12/1969,94,18,80,-12,62,61,182,61,6,86,Malasya
189,Cómo estás,Ke Personajes,cumbia pop,2019,31/12/1969,135,86,59,-2,4,98,227,29,6,72,Argentina
190,Compliqué,Dadju,francoton,2019,31/12/1969,75,74,70,-7,16,93,215,55,5,68,France
191,Con Altura,ROSALÍA,r&b en espanol,2019,31/12/1969,98,69,88,-4,5,75,162,39,12,88,Argentina
192,Con Altura,ROSALÍA,r&b en espanol,2019,31/12/1969,98,69,88,-4,5,75,162,39,12,88,Bolivia
193,Con Altura,ROSALÍA,r&b en espanol,2019,31/12/1969,98,69,88,-4,5,75,162,39,12,88,Colombia
194,Con Altura,ROSALÍA,r&b en espanol,2019,31/12/1969,98,69,88,-4,5,75,162,39,12,88,Spain
195,Con Calma,Daddy Yankee,latin,2019,31/12/1969,94,86,74,-3,6,66,193,11,6,88,Argentina
196,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,31/12/1969,106,52,86,-10,5,71,220,44,13,81,Spain
197,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,31/12/1969,152,93,79,-5,95,81,173,22,8,82,Brazil
198,Coronao Now,El Alfa,dembow,2019,31/12/1969,118,73,94,-8,18,72,218,15,25,81,Chile
199,Côte Ouest,47ter,french hip hop,2019,31/12/1969,152,59,77,-8,18,58,233,50,9,59,France
200,CRUDELIA - I nervi,Marracash,italian hip hop,2019,31/12/1969,82,55,55,-8,34,7,231,15,10,80,Italy
201,Cuerpo en Venta,Noriel,latin,2019,31/12/1969,92,60,70,-6,10,41,254,16,30,85,Chile
202,Dan...,Sheila On 7,indonesian pop,1999,31/12/1969,125,54,66,-12,11,54,289,16,3,72,Indonesia
203,Dance Like,Harrdy Sandhu,desi pop,2019,31/12/1969,100,82,86,-3,30,54,172,38,10,64,India
204,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,World
205,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Africa
206,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Argentina
207,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Australia
208,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Belgium
209,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Bolivia
210,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Brazil
211,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Canada
212,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Germany
